Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building, Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Funded by A&C,"Stability Index (5=very stable, 1=very uncertain)",Constituency over 50% one race,Length of Lease (Date),Address,Location,Closed Date,Closed?
Meter Music School,(206) 355-6088,www.metermusicschool.com,1500,Central District,N,Music,2011,R,1920,2011,0,0,0,Y,300,I don't know.,0,Y,Y,N,N,4,,2019,2110 E Union St Seattle WA 98122,"(47.6131360, -122.3043820)",,0
METHOD Gallery,,www.methodgallery.com,600,Pioneer Square,Non Profit client via Shunpike,Visual,5,Rent,100,2013,,0,0,Yes,600,No,0,Yes,No,No,"Yes, previously",5,,2018,106 3rd Ave South,"(47.6014580, -122.3302090)",,0
Metrix Create Space,(206) 357-9406,www.metrixcreatespace.com,2000,Capitol Hill,N,Multi-use,2009,R,1920,2004,1,0,0,N,0,N,0,N,N,N,N,4,,2024,623 Broadway E Seattle WA 98102,"(47.6249790, -122.3211541)",,0
Metropolitan Music,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,8414 5th Ave NE Seattle WA 98115,"(47.6898690, -122.3229830)",,0
Meydenbauer Center,,,,,,Performance,,,,,,,,,,,,,,,,,,,11100 NE 6th St Bellevue WA 98004,"(47.6159070, -122.1918340)",,0
MIA Gallery,(206) 467-4927,www.m-i-a-gallery.com,682,Downtown,N,Visual,2011,R,,1990,0,0,0,,,Y,0,Y,N,Y,N,3,,2014,1203 2nd Ave Seattle WA 98101,"(47.6066246, -122.3369157)",,0
Miho & Diego Duo,(206) 267-8913,www.mihodiego.com,800,,Other,Performance,2009,R,1950,2007,1,0,,N,,N,3,Y,N,N,,5,,,326 Williams Ave. North Renton WA 98057,"(47.4878800, -122.2058810)",,0
Mike and Mike's Guitar Bar,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,2418 NW 80th St Seattle WA 98117,"(47.6868200, -122.3883870)",,0
Milagros Mexican Folk Art Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,Pike Place Market 1530 Post Alley Seattle WA 98101,"(47.6092970, -122.3412130)",,0
Miller Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,330 19th Ave E Seattle WA 98112,"(47.6216880, -122.3073280)",,0
Miller School of Art,(206) 861-9265,www.millerschoolart.com,1738,Georgetown,N,Visual,2009,R,1929,2003,1,0,0,Y,1500,,0,Y,Y,N,N,3,,2020,1226 S Bailey St Seattle WA 98108,"(47.5480284, -122.3164558)",,0
Mind Unwind Foundation,(206) 829-9128,www.mindunwind.org,2000,Admiral,Y,Arts/Cultural Training or Education,2011,R,2011,2011,0,0,0,Y,500,Partial,0,Y,Y,Y,N,4,,2017,2206A California Ave SW Seattle WA 98116,"(47.5837170, -122.3860240)",,
Mini Mart City Park,,www.minimartcitypark.com,435,Georgetown,Y,Multi-use,2008,O,1937,2008,0,0,0,N,0,Partial,4,Y,N,N,N,4,,0,6525 Ellis Ave S Seattle WA 98108,"(47.5441374, -122.3191131)",,0
MLK Community Center-Ewajo Dance Center and F.A.M.E.,,,,,,Community Center,,,,,,,,,,,,,,,,,,,3201 E Republican St Seattle WA 98112,"(47.6230082, -122.2907548)",,0
Mockingbird Books,,,,,,Literary,,,,,,,,,,,,,,,,,,,7220 Woodlawn Ave NE Seattle WA 98115,"(47.6810910, -122.3248140)",,0
Mode Music Studios,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,3805 Delridge Way SW Seattle WA 98106,"(47.5699040, -122.3625560)",,0
Moksha,2066322622,mokshaseattle.org,3000,University District,N,Multi-use,2002,R,1927,2002,0,0,,Y,750,Y,0,Y,N,N,N,1,,2017,4542 NE University Way,"(47.6620730, -122.3130300)",,0
Molbaks,,,,,,Heritage,,,,,,,,,,,,,,,,,,,13625 NE 175th St Woodinville WA 98072,"(47.7534280, -122.1570270)",,0
Momentum Music & Dance Academy ,(206) 242-1239,www.MomentumDanceAcademy.org,5500,,Y,Studios,2006,R,1960,2003,1,0,,N,,I don't know.,150,N,Y,N,,3,,2017,15811 Ambaum Blvd SW #160 Burien WA 98166,"(47.4608560, -122.3361130)",,0
Monahan Studio,(206) 510-3421,Www.monahanstudio.com,200,,N,Multi-use,2013,O,1980,2000,2,0,,I don't know.,,N,9,Y,N,N,,4,,,19920 174th ave ne Woodinville WA 98072,"(47.7720900, -122.1067000)",,0
Monster Art & Clothing,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,5000 20th Ave NW Seattle WA 98107,"(47.6656870, -122.3822060)",,0
Monster Concerts INC DBA STUDIO SEVEN,(206) 286-1312,www.studioseven.us,7300,SODO,N,Music,2002,R,1932,2011,0,0,0,N,0,Partial,10,I don't know.,Y,Y,N,4,,2018,110 S Horton St Seattle WA 98134,"(47.5743940, -122.3339080)",,0
Montlake Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,1618 E Calhoun St Seattle WA 98112,"(47.6437530, -122.3092580)",,0
Moonphoto,(206) 783-3377,www.moonphotolab.com,1500,Greenwood,N,Visual,1974,R,1926,1974,1,0,0,Y,180,I don't know.,2,Y,N,N,N,4,,2016,7704 Greenwood Ave. N. Seattle WA 98103,"(47.6849270, -122.3553080)",,0
Mt. Si Artist Guild,(425) 445-4337,www.mtsitartistguild.org,600,,Y,Arts/Cultural Training or Education,2014,R,1930,2007,1,0,,N,500,Y,0,N,Y,N,,2,,,5540 396th Drive SE North Bend WA 98045,"(47.5500180, -121.8102640)",,0
Municipal Tower Gallery,(206) 684-7171,www.seattle.gov/arts/publicart/municipal_tower.asp,625,Downtown,,Visual,2003,Other,1990,1970,3,0,0,Y,625,Y,0,Partial,N,N,Y,5,,0,700 Fifth Ave 3rd Level Seattle WA 98104,"(47.6050163, -122.3295729)",,0
Museum of Flight,(206) 764-5720,www.museumofflight.org,375000,Boeing Field,Y,Heritage,2007,O,1914,1965,1,2,349,Y,200,Y,567,Y,N,Y,N,5,,,9404 East Marginal Way S Seattle WA 98108,"(47.5184275, -122.2976981)",,0
Museum of History and Industry (MOHAI),(206) 324-1126,www.mohai.org,52000,South Lake Union,Y,Heritage,2011,O,1942,1914,1,2,100,Y,26000,Y,9,N,Y,N,Y,5,,,860 Terry Ave N Seattle WA 98109,"(47.6275898, -122.3369252)",,0
Music Center of Northwest,(206) 526-8443,www.mcnw.org,7500,Greenwood,Y,Music,1995,R,1952,1988,1,1,180,N,0,Partial,30,Y,Y,N,Y,5,,2024,901 N 96th St Seattle WA 98103,"(47.6983998, -122.3470479)",,0
Music Center of the Northwest,2065268443,mcnw.org,7500,Greenwood,Y,Music,1995,R,1952,1989,2,1,150,N,,Partial,35,Y,Y,N,Y,5,,,901 N 96th St Seattle WA 98103,"(47.6984520, -122.3469470)",,0
Music Works Northwest,(425) 644-0988,www.musicworksnw.org,8100,,Y,Music,2014,R,1975,1966,,0,,N,,Y,20,Y,N,N,,5,,2029,"1331 118th Ave SE, Suite 400 Bellevue WA 98005","(47.5529691, -122.1815359)",,0
Music4Life,(206) 409-3275,www.music4life.org,500,Queen Anne,Y,Arts/Cultural Training or Education,2013,R,2005,2007,1,0,0,N,0,Y,1,N,N,N,N,3,,It's month to month.,422 1st Ave W #101 Seattle WA 98199,"(47.6224520, -122.3584140)",,0
Mutiny Bay Studios,4257364322,www.mutinybaystudios.com,400,,Private / For Profit,Studios,2010,Own,,2007,2,,,No,,Do not know,,No,No,No,No,5,,,18008 NE 196TH ST,,,
My World Dance and Fitness Studio,(206) 861-2500,www.myworld-df.com,600,Central District,N,Multi-use,2008,R,2008,2008,0,0,0,N,0,Y,0,N,Y,N,Y,,,No single race is more than 50% of our audience.,849 Hiawatha Pl S Seattle WA 98144,"(47.5951630, -122.3096730)",,0
Nagomi Tea House,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,519 6th Ave S #200 Seattle WA 98104,"(47.5977324, -122.3267970)",,0
Nancy's Sewing Basket,(206) 282-9112,www.NancysSewingBasket.com,3500,Queen Anne,N,Service/Supply,1991,R,1991,1978,1,0,0,N,0,Partial,0,Y,N,N,N,5,,,2221 Queen Anne Ave N Seattle WA 98109,"(47.6390500, -122.3573150)",,0
National Film Festival for Talented Youth (NFFTY),,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,1319 Dexter Ave N Seattle WA 98109,"(47.6311595, -122.3426842)",,0
Nectar,(206) 632-2020,www.nectarlounge.com,9999,Fremont,N,Music,2003,R,1959,2003,0,0,0,N,0,Y,10,Y,N,Y,N,1,,2029,412 N 36th St Seattle WA 98103,"(47.6523550, -122.3538429)",,0
Neely Mansion Association,(253) 927-4250,www.neelymansion.org,2600,,Y,Preservation,1983,O,1894,1983,0,0,,I don't know.,,Partial,20,Y,Y,Y,,5,,,12303 SE Auburn Black Diamond Road Auburn WA 98092,"(47.3003800, -122.1776020)",,0
Neighbours,,,,,,Music,,,,,,,,,,,,,,,,,,,"1509 Broadway, Seattle WA 98122","(47.6143950, -122.3211980)",,0
Neptune Music Co,,,,,,Music,,,,,,,,,,,,,,,,,,,4344 Brooklyn Ave NE Seattle WA 98105,"(47.6609300, -122.3142830)",,0
Neumos/Barboza,(206) 709-9442,www.neumos.com,12500,Capitol Hill,N,Music,1993,R,1927,1993,0,2,940,N,0,Partial,0,Y,N,Y,N,5,,2018,925 E Pike St Seattle WA 98122,"(47.6139590, -122.3195740)",,0
New Century Theatre Company Offices,,,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,1515 12th Ave Seattle WA 98122,"(47.6144290, -122.3172530)",,0
New City Dance,(206) 242-7989,www.newcitydance.com,2000,,N,Arts/Cultural Training or Education,2008,R,1960,1993,1,0,,N,,I don't know.,5,N,Y,N,,3,,It's month to month.,408 SW 153rd St Burien WA 98166,"(47.4660780, -122.3398790)",,0
New City Theater,(206) 271-4430,www.newcitytheater.org,1950,Central District,Y,Performance,2008,R,1935,1981,3,1,49,,,Partial,0,Y,Y,Y,N,5,,2015,1404 18th Ave Seattle WA 98122,"(47.6131012, -122.3086934)",,1
New Foundation,(206) 512-7247,www.thenewest.org,1800,Central District,Y,Visual,2012,R,1919,2011,0,0,0,N,0,Partial,,Y,N,N,N,5,,2014,312 2nd Ave South Seattle WA,"(47.5995370, -122.3311770)",2016-05-01T00:00:00,1
New Orleans Creole Restaurant + Jazz Music (CLOSED),,,,,,Music,,,,,,,,,,,,,,,,,,,114 First Ave S Seattle WA 98104,"(47.5965162, -122.3341906)",2014-08-01T00:00:00,1
New West Edition,,,,,,Studios,,,,,,,,,,,,,,,,,,,5142 47th Ave NE Seattle WA 98105,"(47.6672369, -122.2770498)",,0
New York Fashion Academy,(206) 352-2636,www.newyorkfashionacademy.com,10000,Ballard,N,Arts/Cultural Training or Education,2005,O,1905,1979,2,0,0,Y,1500,Partial,0,Y,Y,N,N,3,,,5201 Ballard Ave NW Seattle WA 98107,"(47.6654192, -122.3824426)",,0
Nordic Museum,(206) 789-5707,www.nordicmuseum.org,45000,Ballard,Y,Multi-use,1980,R,1907,1979,0,0,0,Y,3800,Y,30,Y,Y,Y,Y,4,,2015,3014 NW 67th St Seattle WA 98117,"(47.6776991, -122.3963587)",,0
North Bend Theatre,(425) 888-1232,www.northbendtheatre.com,4000,,N,Cinema,2006,O,1941,1941,0,1,250,N,,Partial,30,Y,Y,Y,,5,,,125 Bendigo Blvd. N. North Bend WA 98045,"(47.4960220, -121.7868100)",,0
North City Bistro and Wine Shop,(206) 365-4447,www.northcitybistro.com,2000,,N,Music,2014,R,1960,2000,0,0,75,N,,Y,50,Y,N,Y,,4,,2019,1520 NE 177th St Shoreline WA 98155,"(47.7577790, -122.3128420)",,0
North Seattle Chamber of Commerce/Lake City Community Center,(206) 363-3287,www.lccommunitycenter.org,11000,Lake City Way,Y,Community Center,2013,R,1944,2013,0,0,,N,,N,30,Y,Y,N,N,4,,2017-12-31T00:00:00,12531 28th Ave. NE Seattle WA 98125,"(47.7203793, -122.2979988)",,0
Northgate Community Center,,,,,,Community Center,,,,,,,,,,,,,,,,,,,10510 5th Ave NE Seattle WA 98125,"(47.7051930, -122.3224260)",,0
"Northshore Performing Arts Center, Northshore School District",(425) 408-7181,www.new.nsd.org/Page/1185,10000,,Government,Arts/Cultural Training or Education,2005,O,2005,2005,3,2,593,N,,Partial,200,Y,Y,N,,4,,,9130 NE 180th Street Bothell WA 98011,"(47.7602820, -122.2202190)",,0
Northshore Senior Center,(425) 286-1023,www.northshoreseniorcenter.org,12000,,Y,Multi-use,1992,R,1992,1972,3,1,300,Y,0,Y,200,Y,Y,N,,5,,,10201 E. Riverside Drive Bothell WA 98011,"(47.7559290, -122.2026220)",,0
Northwest African American Museum,(206) 518-6000,www.naamnw.org,19700,Central District,Y,Heritage,2010,R,1906,2007,0,0,0,Y,7500,Y,45,Y,Y,N,Y,3,,,2300 S Massachusetts St Seattle WA 98144,"(47.5891416, -122.3018907)",,0
Northwest Art & Frame,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,4733 California Ave SW Seattle WA 98116,"(47.5601782, -122.3871540)",,0
Northwest Art Center,(425) 788-5900,www.northwestartcenter.org,2100,,Y,Arts/Cultural Training or Education,2014,R,1903,2004,1,0,,Y,1000,Y,16,Y,Y,Y,,4,,2024,"15705 Main St , Suite F Duvall WA 98019","(47.7418000, -121.9863460)",,0
Northwest Ballet Center at Lake Forest Park Town Center,,,,,,Performance,,,,,,,,,,,,,,,,,,,"7171 Northeast Bothell Way, Lake Forest Park WA 98155","(47.7460690, -122.2860550)",,0
Northwest Encaustic,(206) 291-7775,www.nwencaustic.com,800,West Seattle,N,Arts/Cultural Training or Education,2008,R,1965,2008,0,0,12,Y,1200,Partial,5,Y,Y,N,N,5,,,7150 44th Ave SW Seattle WA 98136,"(47.5390260, -122.3885360)",,0
Northwest Heritage Resources,(206) 306-1181,www.northwestheritageresources.org,300,,Y,Arts/Cultural Administration or Advocacy,2006,Other,1996,1995,1,0,,N,,Partial,4,Y,N,N,,4,,,3505 NE 187th St Lake Forest Park WA 98155,"(47.7640358, -122.2915877)",,0
Northwest Pianos,(425) 241-8835,www.northwestpianos.com,6000,,N,Multi-use,2009,R,1960,2009,0,1,80,N,,Y,12,N,N,N,,4,,,13310 Bel-Red  Road Suite 100 Bellevue WA 98005,"(47.6228740, -122.1627600)",,0
Northwest Puppet Center/ Carter Family Marionettes Maple Leaf,(206) 523-2579,www.nwpuppet.org,4000,Maple Leaf,Y,Performance,1993,O,1929,1984,2,1,220,Y,2000,Partial,0,Y,N,Y,Y,5,,0,9123 15th Ave NE Seattle WA 98115,"(47.6955684, -122.3124687)",,0
Northwest Railway Museum,(425) 888-3030,www.trainmuseum.org,25000,,Y,Heritage,2010,O,2010,1957,2,0,0,N,,Y,10,Y,Y,N,,4,,,38625 SE King St Snoqualmie WA 98065,"(47.5284440, -121.8256230)",,0
Northwest Tap Connection,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,8732 Rainier Ave S Seattle WA 98118,"(47.5243382, -122.2695039)",,0
Northwest University Creatio Studios,(425) 822-8266,www.northwestu.edu/Creatio ,50000,,Y,Music,2008,O,1987,1934,,0,,N,,I don't know.,500,Y,N,N,,5,,,11220 NE 53rd St Kirkland WA 98033,"(47.6561780, -122.1898650)",,0
Northwest Woodworkers Gallery,(206) 625-0542,www.nwwoodgallery.com,4000,Belltown,Y,Visual,2011,R,,1980,4,0,0,Y,4050,N,0,Y,N,N,N,3,,2015,2111 1st Ave Seattle WA 98121,"(47.6119449, -122.3444630)",,0
Nortthwest Film Forum,(206) 329-2629,www.nwfilmforum.org,8500,Capitol Hill,Y,Cinema,2003,R,1900,1995,2,2,164,N,0,Partial,0,Y,Y,Y,Y,4,,2018,1515 12th Ave Seattle WA 98122,"(47.6144138, -122.3170710)",,0
Nrityalaya School of Dance ,(425) 241-5425,www.nrityalayadance.org,1000,,N,Performance,2014,R,2000,2007,0,0,,N,,Y,25,Y,N,N,,3,,,19370 132nd Place NE  Woodinville WA 98072,"(47.7680490, -122.1627620)",,0
Nu Black Arts West Theatre,(206) 329-3328,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,843 Hiawatha Pl. S Suite #305 Seattle WA 98144,"(47.5946730, -122.3096620)",,0
Nupasa Art Studio & Gallery,,,,,,Visual,,,,,,,,,,,,,,,,,,,5539 Airport Way S Seattle WA 98108,"(47.5525620, -122.3201930)",,0
NW Work Lofts,,,,,,Live/Work,,,,,,,,,,,,,,,,,,,3131 Western Ave #419 Seattle WA 98121,"(47.6182480, -122.3574300)",,0
Oberloh Woodwind and Brass Works,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,958 N 127th St #A Seattle WA 98133,"(47.7216490, -122.3459550)",,0
Of the Earth,(206) 462-7022,www.oftheearth.org,4000,Greenlake,N,Multi-use,2014,R,1900,1994,4,0,0,N,0,Y,0,Y,N,N,N,5,,2019,7706 Aurora Ave N Seattle WA 98103,"(47.6850306, -122.3442580)",,0
Off the Wall School of Music,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,4509 Midvale Ave N Seattle WA 98103,"(47.6616320, -122.3437700)",,0
On the Boards,(206) 217-9886,www.ontheboards.org,27500,Uptown,Y,Performance,1996,O,1912,1978,1,2,404,N,0,Y,39,Y,Y,Y,Y,5,,0,100 W Roy St Seattle WA 98119,"(47.6259637, -122.3582053)",,0
One Reel,,,,,,Performance,,,,,,,,,,,,,,,,,,,215 6th Ave N Seattle WA 98109,"(47.6199940, -122.3450180)",,0
Open Books,(206) 633-0811,www.openpoetrybooks.com,950,Wallingford,N,Literary,1995,O,1907,1987,1,0,0,N,0,Y,0,Y,N,N,N,5,,,2414 N 45th St Seattle WA 98103,"(47.6615557, -122.3294857)",,0
Open Flight Studio,(206) 632-0067,www.openflightstudio.org,1000,University District,,Performance,2001,R,,2001,0,0,0,N,0,,2,N,Y,N,N,3,,2015,4205 University Way NE Seattle WA 98105,"(47.6585538, -122.3133686)",,0
Open Space for Arts and Community,(206) 408-7241,www.openspacevashon.com,9600,,Other,Multi-use,2008,O,1985,2006,0,2,600,N,,Y,60,N,Y,I don't know.,,5,,,18870 103rd Ave SW Vashon WA 98070,"(47.4337880, -122.4644930)",,0
Ophelia's Books,(206) 632-3759,www.opheliasbooks.com,1500,Fremont,N,Literary,1994,R,,1994,0,0,0,N,0,Y,0,Y,N,N,N,4,,2016,3504 Fremont Ave N Seattle WA 98103,"(47.6506373, -122.3496713)",,0
Orbit Audio,(206) 381-1244,www.orbitaudiorocks.com,2200,Pioneer Square,N,Music,2001,R,1910,1993,2,0,0,N,0,,,N,N,N,N,4,,2018,219 1st Ave S Seattle WA 98104,"(47.6002492, -122.3346249)",,0
Oromo Community Organization,,,,,,Community Center,,,,,,,,,,,,,,,,,,,2718 S Jackson St Seattle WA 98144,"(47.5992160, -122.2965950)",,0
Ostara Group,,,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,7025 1st Ave NW Seattle WA 98117,"(47.6803384, -122.3577114)",,0
OutWest,,,,,,Music,,,,,,,,,,,,,,,,,,,5401 California Ave SW Seattle WA 98136,"(47.5537640, -122.3873140)",,0
Pacific Ballroom Dance,(253) 939-6524,www.pacificballroom.org,5800,,Y,Arts/Cultural Training or Education,2008,R,2000,2003,0,0,,N,,Y,40,Y,Y,N,,4,,,1604 15th St SW Suite 109 Auburn WA 98001-6565,"(47.2956575, -122.2584954)",,0
Pacific Bonsai Museum,(253) 353-7345,www.pacificbonsaimuseum.org,43560,,Y,Multi-use,1989,R,1989,1989,0,0,30000,Y,,Y,100,N,Y,N,,2,,,2515 S. 336th St. Federal Way WA 98003,"(47.3015650, -122.3005150)",,0
Pacific Dance Studio,(425) 883-8233,www.pacificdance.com,625,,N,Arts/Cultural Training or Education,2013,R,1995,1960,3,0,,N,,I don't know.,12,Y,N,Y,,4,,,12611 Northup Way Suite 210 Bellevue WA 98005,"(47.6280600, -122.1717010)",,0
Pacific Fabrics and Crafts,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,2230 4th Ave S Seattle WA 98134,"(47.5826530, -122.3283310)",,0
Pacific Northwest Ballet,(206) 441-9411,www.pnb.org,51000,Uptown,Y,Studios,1993,R,1993,1972,1,1,150,N,,Y,0,Y,Y,N,Y,5,,2031,301 Mercer Street Seattle WA 98109,"(47.6238440, -122.3495860)",,0
Pacific Northwest Railroad Archive,(206) 349-6242,www.PRNArchive.org,7500,,Y,Preservation,2010,O,1964,2009,0,0,,N,,Y,10,Y,N,N,,5,,,425 SW 153rd Street Burien WA 98166,"(47.4658562, -122.3396519)",,0
Pacific Northwest Writers Association,(425) 673-2665,www.pnwa.org,900,,Y,Arts/Cultural Training or Education,2010,R,1960,1955,,0,,N,,Y,100,N,I don't know.,N,,5,,,"317 NW Gilman Blvd, Ste 8 Issaquah WA 98027","(47.5397810, -122.0410790)",,0
Page 2 Books,(206) 248-7248,www.page2books.com,2800,,N,Literary,2013,R,1953,1987,1,0,,N,,Y,15,Y,N,N,,3,,2018,457 SW 152nd Street Burien WA 98166,"(47.4666200, -122.3413720)",,0
Paint Away!,,,,,,Visual,,,,,,,,,,,,,,,,,,,7329 164th Avenue NE  Redmond WA 98052,"(47.6703010, -122.1219190)",,0
Paint the Town,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,4611 Village Court NE Seattle WA 98105,"(47.6604000, -122.2805250)",,0
Panda Class,(206) 330 5774,www.pandaclass.com,800,,N,Arts/Cultural Training or Education,2011,R,1970,2011,0,0,,Y,10,I don't know.,50,Y,I don't know.,N,,4,,It's month to month.,13401 Bel-Red Rd Bellevue WA 98005,"(47.6223840, -122.1609830)",,0
Panda Photographic Laboratories Inc,(206) 285-7091,www.pandalab.com,2300,Queen Anne,N,Service/Supply,1984,R,1930,1983,0,0,0,N,0,N,2,Y,N,N,N,5,,2020,533 Warren Ave N Seattle WA 98109,"(47.6237690, -122.3540850)",,0
Paper Source,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,2606 NE 46th St Seattle WA 98105,"(47.6619110, -122.2841110)",,0
Paper Source Queen Anne,,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,1908 Queen Anne Ave N Seattle WA 98109,"(47.6361740, -122.3569580)",,0
Paragon,,,,,,Music,,,,,,,,,,,,,,,,,,,2125 Queen Anne Ave N Seattle WA 98109,"(47.6378686, -122.3571792)",,0
Parklane Gallery,(425) 827-1462,www.parklanegallery.com,2000,,Y,Visual,1992,R,1950,1992,1,0,,Y,2000,I don't know.,0,Y,Y,Y,,5,,2018,130 Park Lane Kirkland WA 98033,"(47.6764290, -122.2054940)",,0
Parkplace Books,(425) 828-6546,www.parkplacebookskirkland.com,6000,,N,Literary,1986,R,1975,1986,0,0,,N,,I don't know.,0,N,N,N,,1,,2015,"348 Parkplace Center, Kirkland WA 98033","(47.6778030, -122.1986710)",,0
Parlor Live Seattle,,,,,,Performance,,,,,,,,,,,,,,,,,,,1522 6th Ave Seattle WA 98101,"(47.6114150, -122.3347700)",,
Patricia Cameron Gallery (CLOSED),,,,,,Visual,,,,,,,,,,,,,,,,,,,234 Dexter Ave N Seattle WA 98109,"(47.6207093, -122.3420916)",2014-06-30T00:00:00,1
Patricia Rovzar Gallery,(206) 223-0273,www.rovzargallery.com,2470,Downtown,N,Visual,2006,R,1910,1992,1,0,0,Y,2470,,0,Y,N,N,N,5,,2016,1225 2nd Ave Seattle WA 98101,"(47.6069251, -122.3372059)",,0
Peel Studios,,,,,,Studios,,,,,,,,,,,,,,,,,,,,,,
Pegasus Book Exchange,,,,,,Literary,,,,,,,,,,,,,,,,,,,4553 California Ave SW Seattle WA 98116,"(47.5614550, -122.3871770)",,0
Peter Miller Books,(206) 441-4114,www.petermiller.com,975,Belltown,N,Visual,2012,R,1930,1980,3,0,,Y,900,Y,0,Y,N,N,N,4,,2021,2326 2nd Ave Seattle WA 98121,"(47.6142930, -122.3461080)",,0
Phinney Books,,,,,,Literary,,,,,,,,,,,,,,,,,,,7405 Greenwood Ave. N Seattle WA 98103,"(47.6827850, -122.3556210)",,0
Phinney Neighborhood Association,(206) 783-2244,www.phinneycenter.org,40656,Phinney Ridge,Y,Community Center,1981,O,1904,1980,0,1,150,Y,1250,Partial,140,Y,Y,N,N,5,,,6532 Phinney Ave N Seattle WA 98103,"(47.6771330, -122.3539896)",,0
Phoenix Comics & Games,,,,,,Literary,,,,,,,,,,,,,,,,,,,113 Broadway E Seattle WA 98102,"(47.6189770, -122.3208760)",,0
Phoenix Used Books,(425) 888-0535,www.northbendbooks.com,1500,,N,Literary,2006,O,1906,2006,0,0,,N,,I don't know.,4,Y,N,N,,5,,,319 Bendigo Blvd. N North Bend WA 98045,"(47.4983340, -121.7863430)",,0
"Photo-tronics, Inc.",,,,,,Service/Supply,,,,,,,,,,,,,,,,,,,513 Dexter Ave. N. Seattle WA 98109,"(47.6237260, -122.3427730)",,0
Photographic Center Northwest,(206) 720-7222,www.pcnw.org,10440,Capitol Hill,Y,Visual,1997,O,1923,1983,3,0,0,Y,343,Y,25,Y,N,N,Y,2,,0,900 12th Ave Seattle WA 98122,"(47.6105623, -122.3163719)",,0
Piano Studio Seattle,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,11716 23rd Ave NE Seattle WA 98125,"(47.7144740, -122.3041380)",,0
Pilchuck Glass School Office (CLOSED/MOVED),,,,,,Arts/Cultural Administration or Advocacy,,,,,,,,,,,,,,,,,,,430 Yale Ave N Seattle WA 98109,"(47.6228012, -122.3302142)",2016-10-14T00:00:00,1
Pilchuck Glass School Seattle,(206) 621-8422,www.pilchuck.com,2000,Pioneer Square,Y,Arts/Cultural Training or Education,1914,R,1900,1971,3,0,,Y,400,Y,0,Y,Y,Y,N,5,,2020,240 2nd Ave S. Suite 100 Seattle WA 98104,"(47.6005100, -122.3315860)",,0
Pine Lake Community Club,(425) 392-4041,www.pinelakecommunityclub.com,2500,,Y,Multi-use,1938,O,1938,1938,0,0,150,N,,Y,75,I don't know.,Y,N,,5,,,21333 SE 20th Street Sammamish WA 98075,"(47.5916380, -122.0558790)",,0
Pink Door,,,,,,Performance,,,,,,,,,,,,,,,,,,,1919 Post Alley Seattle WA 98101,"(47.6102805, -122.3424974)",,0
Pipsqueak,,www.pipsqueak.bandcamp.com,700,Central District,,Visual,2013,R,1910,2009,,1,12,Y,600,Partial,,Y,N,N,N,3,,2015,173 16th Ave Seattle WA 98122,"(47.6034343, -122.3115241)",,0
Pivot Art + Culture,,www.pivotartandculture.org,,,,Visual,2015,R,,,,,,Y,,,,Y,,,,,,,609 Westlake Ave N,,2017-08-11T00:00:00,1
Planet Afua,,,,,,Arts/Cultural Training or Education,,,,,,,,,,,,,,,,,,,6716 Rainier Ave S Seattle WA 98118,"(47.5420331, -122.2720570)",,0
Planet Art,(206) 782-7455,www.planetart.us,2000,Crown Hill,N,Visual,1994,O,1995,1984,0,0,0,N,0,N,2,Y,N,N,N,5,,,2811 NW 93rd St Seattle WA 98117,"(47.6965754, -122.3933821)",,0
Plateau Ballet Repertory Theatre,(360) 825-2196,www.theballetworkshop.com,2800,,Y,Arts/Cultural Training or Education,1988,R,1912,1988,0,0,0,N,0,N,0,Y,N,N,,2,,2018,"1210 Griffin Ave, Ste A Enumclaw WA 98022","(47.2035850, -121.9901180)",,0
Plateau Community Orchestra,(360) 802-1506,www.plateuacommunityorchestra.org,,,,Music,,,,,,,,,,,,,,,,,,,39406 303rd Ave SE Enumclaw WA 98022,"(47.2477640, -121.9369590)",,0
